,0,1,2
389,glad,43,0
390,done,54,0
391,afternoon,10,0
392,read,34,0
393,kahfi,1,0
394,finish,17,0
395,ohmyg,1,0
396,yaya,3,0
397,dub,2,0
398,stalk,2,0
399,ig,3,0
400,gondooo,1,0
401,moo,2,0
402,tologooo,1,0
403,becom,10,0
404,detail,10,0
405,zzz,1,0
406,xx,42,0
407,physiotherapi,1,0
408,hashtag,5,0
409,💪,1,0
410,monica,1,0
411,miss,27,0
412,sound,23,0
413,morn,101,0
414,that',67,0
415,x43,1,0
416,definit,23,0
417,tri,44,0
418,tonight,20,0
419,took,8,0
420,advic,6,0
421,treviso,1,0
422,concert,24,0
423,citi,27,0
424,countri,23,0
425,i'll,90,0
426,start,61,0
427,fine,10,0
428,gorgeou,12,0
429,xo,2,0
430,oven,3,0
431,roast,2,0
432,garlic,1,0
433,oliv,1,0
434,oil,4,0
435,dri,5,0
436,tomato,1,0
437,basil,1,0
438,centuri,1,0
439,tuna,1,0
440,right,47,0
441,back,98,0
442,atchya,1,0
443,even,35,0
444,almost,10,0
445,chanc,6,0
446,cheer,20,0
447,po,4,0
448,ice,6,0
449,cream,6,0
450,agre,16,0
451,100,8,0
452,heheheh,2,0
453,that,13,0
454,point,13,0
455,stay,25,0
456,home,31,0
457,soon,47,0
458,promis,6,0
459,web,4,0
460,whatsapp,5,0
461,volta,1,0
462,funcionar,1,0
463,com,2,0
464,iphon,7,0
465,jailbroken,1,0
466,later,16,0
467,34,3,0
468,min,9,0
469,leia,1,0
470,appear,3,0
471,hologram,1,0
472,r2d2,1,0
473,w,18,0
474,messag,10,0
475,obi,1,0
476,wan,3,0
477,sit,8,0
478,luke,6,0
479,inter,1,0
480,3,32,0
481,ucl,1,0
482,arsen,2,0
483,small,4,0
484,team,29,0
485,pass,12,0
486,🚂,1,0
487,dewsburi,2,0
488,railway,1,0
489,station,4,0
490,dew,1,0
491,west,3,0
492,yorkshir,2,0
493,430,1,0
494,smh,2,0
495,9:25,1,0
496,live,26,0
497,strang,4,0
498,imagin,5,0
499,megan,1,0
500,masaantoday,6,0
501,a4,3,0
502,shweta,1,0
503,tripathi,1,0
504,5,17,0
505,20,6,0
506,kurta,3,0
507,half,7,0
508,number,13,0
509,wsalelov,16,0
510,ah,13,0
511,larri,3,0
512,anyway,16,0
513,kinda,13,0
514,goood,4,0
515,life,49,0
516,enn,1,0
517,could,32,0
518,warmup,1,0
519,15th,2,0
520,bath,7,0
521,dum,2,0
522,andar,1,0
523,ram,1,0
524,sampath,1,0
525,sona,1,0
526,mohapatra,1,0
527,samantha,1,0
528,edward,1,0
529,mein,1,0
530,tulan,1,0
531,razi,2,0
532,wah,2,0
533,josh,1,0
534,alway,67,0
535,smile,62,0
536,pictur,12,0
537,16.20,1,0
538,giveitup,1,0
539,given,3,0
540,ga,3,0
541,subsidi,1,0
542,initi,4,0
543,propos,3,0
544,delight,7,0
545,yesterday,7,0
546,x42,1,0
547,lmaoo,2,0
548,song,22,0
549,ever,23,0
550,shall,6,0
551,littl,31,0
552,throwback,3,0
553,outli,1,0
554,island,5,0
555,cheung,1,0
556,chau,1,0
557,mui,1,0
558,wo,1,0
559,total,9,0
560,differ,11,0
561,kfckitchentour,2,0
562,kitchen,4,0
563,clean,1,0
564,i'm,183,0
565,cusp,1,0
566,test,7,0
567,water,8,0
568,reward,1,0
569,arummzz,2,0
570,let',23,0
571,drive,11,0
572,travel,20,0
573,yogyakarta,3,0
574,jeep,3,0
575,indonesia,4,0
576,instamood,3,0
577,wanna,30,0
578,skype,3,0
579,may,22,0
580,nice,98,0
581,friendli,2,0
582,pretend,2,0
583,film,9,0
584,congratul,15,0
585,winner,4,0
586,cheesydelight,1,0
587,contest,6,0
588,address,10,0
589,guy,60,0
590,market,5,0
591,24/7,1,0
592,14,1,0
593,hour,27,0
594,leav,12,0
595,without,12,0
596,delay,2,0
597,actual,19,0
598,easi,9,0
599,guess,14,0
600,train,10,0
601,wd,1,0
602,shift,5,0
603,engin,2,0
604,etc,2,0
605,sunburn,1,0
606,peel,2,0
607,blog,31,0
608,huge,11,0
609,warm,6,0
610,☆,3,0
611,complet,11,0
612,triangl,2,0
613,northern,1,0
614,ireland,2,0
615,sight,1,0
616,smthng,2,0
617,fr,3,0
618,hug,13,0
619,xoxo,3,0
620,uu,1,0
621,jaann,1,0
622,topnewfollow,2,0
623,connect,14,0
624,wonder,35,0
625,made,53,0
626,fluffi,1,0
627,insid,8,0
628,pirouett,1,0
629,moos,1,0
630,trip,14,0
631,philli,1,0
632,decemb,3,0
633,i'd,20,0
634,dude,6,0
635,x41,1,0
636,question,17,0
637,flaw,1,0
638,pain,9,0
639,negat,1,0
640,strength,3,0
641,went,12,0
642,solo,4,0
643,move,12,0
644,fav,13,0
645,nirvana,1,0
646,smell,2,0
647,teen,3,0
648,spirit,3,0
649,rip,3,0
650,ami,4,0
651,winehous,1,0
652,coupl,9,0
653,tomhiddleston,1,0
654,elizabetholsen,1,0
655,yaytheylookgreat,1,0
656,goodnight,24,0
657,vid,11,0
658,wake,12,0
659,gonna,21,0
660,shoot,6,0
661,itti,2,0
662,bitti,2,0
663,teeni,2,0
664,bikini,3,0
665,much,89,0
666,4th,4,0
667,togeth,7,0
668,end,20,0
669,xfile,1,0
670,content,4,0
671,rain,21,0
672,fabul,5,0
673,fantast,13,0
674,♡,20,0
675,jb,1,0
676,forev,5,0
677,belieb,3,0
678,nighti,1,0
679,bug,3,0
680,bite,1,0
681,bracelet,2,0
682,idea,26,0
683,foundri,1,0
684,game,27,0
685,sens,7,0
686,pic,27,0
687,ef,1,0
688,phone,19,0
689,woot,2,0
690,derek,1,0
691,use,44,0
692,parkshar,1,0
693,gloucestershir,1,0
694,aaaahhh,1,0
695,man,23,0
696,traffic,2,0
697,stress,8,0
698,reliev,1,0
699,how'r,1,0
700,arbeloa,1,0
701,turn,15,0
702,17,4,0
703,omg,15,0
704,say,61,0
705,europ,1,0
706,rise,2,0
707,find,23,0
708,hard,12,0
709,believ,9,0
710,uncount,1,0
711,coz,3,0
712,unlimit,1,0
713,cours,18,0
714,teamposit,1,0
715,aldub,2,0
716,☕,3,0
717,rita,2,0
718,info,13,0
719,we'd,4,0
720,way,46,0
721,boy,21,0
722,x40,1,0
723,true,22,0
724,sethi,2,0
725,high,7,0
726,exe,1,0
727,skeem,1,0
728,saam,1,0
729,peopl,48,0
730,polit,2,0
731,izzat,1,0
732,wese,1,0
733,trust,9,0
734,khawateen,1,0
735,k,9,0
736,sath,2,0
737,mana,1,0
738,kar,1,0
739,deya,1,0
740,sort,9,0
741,smart,5,0
742,hair,12,0
743,tbh,5,0
744,jacob,2,0
745,g,10,0
746,upgrad,6,0
747,tee,2,0
748,famili,19,0
749,person,19,0
750,two,22,0
751,convers,6,0
752,onlin,7,0
753,mclaren,1,0
754,fridayfeel,5,0
755,tgif,10,0
756,squar,1,0
757,enix,1,0
758,bissmillah,1,0
759,ya,23,0
760,allah,3,0
761,we'r,29,0
762,socent,1,0
763,startup,2,0
764,drop,9,0
765,your,3,0
766,arnd,1,0
767,town,5,0
768,basic,4,0
769,piss,3,0
770,cup,4,0
771,also,35,0
772,terribl,2,0
773,complic,1,0
774,discuss,3,0
775,snapchat,36,0
776,lynettelow,1,0
777,kikmenow,3,0
778,snapm,2,0
779,hot,24,0
780,amazon,1,0
781,kikmeguy,3,0
782,defin,2,0
783,grow,7,0
784,sport,4,0
785,rt,12,0
786,rakyat,1,0
787,write,13,0
788,sinc,15,0
789,mention,24,0
790,fli,5,0
791,fish,3,0
792,promot,5,0
793,post,21,0
794,cyber,1,0
795,ourdaughtersourprid,5,0
796,mypapamyprid,2,0
797,papa,2,0
798,coach,2,0
799,posit,8,0
800,kha,1,0
801,atleast,2,0
802,x39,1,0
803,mango,1,0
804,lassi',1,0
805,monty',1,0
806,marvel,2,0
807,though,19,0
808,suspect,3,0
809,meant,3,0
810,24,4,0
811,hr,2,0
812,touch,15,0
813,kepler,4,0
814,452b,5,0
815,chalna,1,0
816,hai,11,0
817,thankyou,14,0
818,hazel,1,0
819,food,6,0
820,brooklyn,1,0
821,pta,2,0
822,awak,10,0
823,okayi,2,0
824,awww,15,0
825,ha,23,0
826,doc,1,0
827,splendid,1,0
828,spam,1,0
829,folder,1,0
830,amount,1,0
831,nigeria,1,0
832,claim,1,0
833,rted,1,0
834,leg,5,0
835,hurt,8,0
836,bad,18,0
837,mine,14,0
838,saturday,8,0
839,thaaank,1,0
840,puhon,1,0
841,happinesss,1,0
842,tnc,1,0
843,prior,1,0
844,notif,2,0
845,fat,1,0
846,co,1,0
847,probabl,9,0
848,ate,4,0
849,yuna,2,0
850,tamesid,1,0
851,´,3,0
852,googl,6,0
853,account,19,0
854,scouser,1,0
855,everyth,13,0
856,zoe,2,0
857,mate,7,0
858,liter,6,0
859,they'r,12,0
860,samee,1,0
861,edgar,1,0
862,updat,13,0
863,log,4,0
864,bring,17,0
865,abe,1,0
866,meet,34,0
867,x38,1,0
868,sigh,3,0
869,dreamili,1,0
870,pout,1,0
871,eye,14,0
872,quacketyquack,7,0
873,funni,19,0
874,happen,16,0
875,phil,1,0
876,em,3,0
877,del,1,0
878,rodder,1,0
879,els,10,0
880,play,46,0
881,newest,1,0
882,gamejam,1,0
883,irish,2,0
884,literatur,2,0
885,inaccess,2,0
886,kareena',2,0
887,fan,30,0
888,brain,13,0
889,dot,11,0
890,braindot,11,0
891,fair,5,0
892,rush,1,0
893,either,11,0
894,brandi,1,0
895,18,5,0
896,carniv,1,0
897,men,10,0
898,put,17,0
899,mask,3,0
900,xavier,1,0
901,forneret,1,0
902,jennif,1,0
903,site,9,0
904,free,37,0
905,50.000,3,0
906,8,10,0
907,ball,7,0
908,pool,5,0
909,coin,5,0
910,edit,7,0
911,trish,1,0
912,♥,19,0
913,grate,5,0
914,three,10,0
915,comment,8,0
916,wakeup,1,0
917,besid,2,0
918,dirti,2,0
919,sex,6,0
920,lmaooo,1,0
921,😤,2,0
922,loui,4,0
923,he',11,0
924,throw,3,0
925,caus,15,0
926,inspir,7,0
927,ff,48,0
928,twoof,3,0
929,gr8,1,0
930,wkend,3,0
931,kind,24,0
932,exhaust,2,0
933,word,20,0
934,cheltenham,1,0
935,area,4,0
936,kale,1,0
937,crisp,1,0
938,ruin,5,0
939,x37,1,0
940,open,12,0
941,worldwid,2,0
942,outta,1,0
943,sfvbeta,1,0
944,vantast,1,0
945,xcylin,1,0
946,bundl,1,0
947,show,28,0
948,internet,2,0
949,price,4,0
950,realisticli,1,0
951,pay,8,0
952,net,1,0
953,educ,1,0
954,power,7,0
955,weapon,1,0
956,nelson,1,0
957,mandela,1,0
958,recent,9,0
959,j,3,0
960,chenab,1,0
961,flow,5,0
962,pakistan,2,0
963,incredibleindia,1,0
964,teenchoic,10,0
965,choiceinternationalartist,9,0
966,superjunior,9,0
967,caught,4,0
968,first,50,0
969,salmon,3,0
970,super-blend,1,0
971,project,6,0
972,youth@bipolaruk.org.uk,1,0
973,awesom,42,0
974,stream,14,0
975,alma,1,0
976,mater,1,0
977,highschoolday,1,0
978,clientvisit,1,0
979,faith,3,0
980,christian,1,0
981,school,9,0
982,lizaminnelli,1,0
983,upcom,2,0
984,uk,4,0
985,😄,5,0
986,singl,6,0
987,hill,4,0
988,everi,26,0
989,beat,10,0
990,wrong,10,0
991,readi,25,0
992,natur,1,0
993,pefumeri,1,0
994,workshop,3,0
995,neal,1,0
996,yard,1,0
997,covent,1,0
998,tomorrow,40,0
999,fback,27,0
1000,indo,1,0
1001,harmo,1,0
1002,americano,1,0
1003,rememb,16,0
1004,aww,10,0
1005,head,14,0
1006,saw,19,0
1007,dark,6,0
1008,handshom,1,0
1009,juga,1,0
1010,hurray,1,0
1011,hate,13,0
1012,cant,15,0
1013,decid,4,0
1014,save,12,0
1015,list,15,0
1016,hiya,4,0
1017,exec,1,0
1018,loryn.good@lincs-chamber.co.uk,1,0
1019,photo,19,0
1020,thx,15,0
1021,4,24,0
1022,china,2,0
1023,homosexu,1,0
1024,hyungbot,1,0
1025,give,48,0
1026,fam,5,0
1027,mind,23,0
1028,timetunnel,1,0
1029,1982,1,0
1030,quit,13,0
1031,radio,5,0
1032,set,11,0
1033,heart,11,0
1034,hiii,2,0
1035,jack,3,0
1036,ili,5,0
1037,✨,4,0
1038,domino,1,0
1039,pub,1,0
1040,heat,1,0
1041,prob,5,0
1042,sorri,22,0
1043,hastili,1,0
1044,type,6,0
1045,came,7,0
1046,pakistani,1,0
1047,x36,1,0
1048,3point,1,0
1049,dreamteam,1,0
1050,gooo,2,0
1051,bailey,2,0
1052,pbb,4,0
1053,737gold,3,0
1054,drank,2,0
1055,old,13,0
1056,gotten,2,0
1057,1/2,1,0
1058,welsh,1,0
1059,wale,3,0
1060,yippe,1,0
1061,💟,4,0
1062,bro,24,0
1063,lord,4,0
1064,michael,4,0
1065,u'r,1,0
1066,ure,1,0
1067,bigot,1,0
1068,usual,6,0
1069,front,4,0
1070,squat,1,0
1071,dobar,1,0
1072,dan,5,0
1073,brand,8,0
1074,heavi,2,0
1075,musicolog,1,0
1076,2015,16,0
1077,spend,2,0
1078,marathon,1,0
1079,iflix,2,0
1080,offici,10,0
1081,graduat,3,0
1082,cri,9,0
1083,__,1,0
1084,yep,9,0
1085,expert,4,0
1086,bisexu,1,0
1087,minal,1,0
1088,aidzin,1,0
1089,yo,7,0
1090,pi,1,0
1091,cook,2,0
1092,book,21,0
1093,dinner,7,0
1094,tough,2,0
1095,choic,8,0
1096,other,12,0
1097,chill,6,0
1098,smu,1,0
1099,oval,1,0
1100,basketbal,1,0
1101,player,4,0
1102,whahahaha,1,0
1103,soamaz,1,0
1104,moment,12,0
1105,onto,3,0
1106,a5,1,0
1107,wardrob,2,0
1108,user,3,0
1109,teamr,1,0
1110,appar,6,0
1111,depend,2,0
1112,greatli,1,0
1113,design,21,0
1114,ahhh,1,0
1115,7th,1,0
1116,cinepambata,1,0
1117,mechan,1,0
1118,form,4,0
1119,download,10,0
1120,ur,38,0
1121,swisher,1,0
1122,cop,1,0
1123,ducktail,1,0
1124,surreal,3,0
1125,exposur,1,0
1126,sotw,1,0
1127,halesowen,1,0
1128,blackcountryfair,1,0
1129,street,1,0
1130,assess,1,0
1131,mental,4,0
1132,bodi,15,0
1133,ooz,1,0
1134,appeal,1,0
1135,amassiveoverdoseofship,1,0
1136,latest,5,0
1137,isi,1,0
1138,chan,1,0
1139,c,9,0
1140,note,6,0
1141,pkwalasawa,1,0
1142,gemma,1,0
1143,orlean,1,0
1144,fever,2,0
1145,geskenya,1,0
1146,obamainkenya,1,0
1147,magicalkenya,1,0
1148,greatkenya,1,0
1149,allgoodthingsk,1,0
1150,anim,6,0
1151,umaru,1,0
1152,singer,4,0
1153,ship,8,0
1154,order,17,0
1155,room,5,0
1156,car,6,0
1157,gone,5,0
1158,hahaha,14,0
1159,stori,11,0
1160,relat,4,0
1161,label,1,0
1162,worst,3,0
1163,batch,1,0
1164,princip,1,0
1165,due,3,0
1166,march,1,0
1167,wooftast,2,0
1168,receiv,8,0
1169,necessari,1,0
1170,regret,4,0
1171,rn,4,0
1172,whatev,5,0
1173,hat,1,0
1174,success,6,0
1175,abstin,1,0
1176,wtf,3,0
1177,there',11,0
1178,thrown,1,0
1179,middl,2,0
1180,repeat,3,0
1181,relentlessli,1,0
1182,approxim,1,0
1183,oldschool,1,0
1184,runescap,1,0
1185,daaay,1,0
1186,jumma_mubarik,1,0
1187,frnd,1,0
1188,stay_bless,1,0
1189,bless,12,0
1190,pussycat,1,0
1191,main,7,0
1192,launch,4,0
1193,pretoria,1,0
1194,fahrinahmad,1,0
1195,tengkuaaronshah,1,0
1196,eksperimencinta,1,0
1197,tykkäsin,1,0
1198,videosta,1,0
1199,month,13,0
1200,hoodi,2,0
1201,eeep,1,0
1202,yay,16,0
1203,sohappyrightnow,1,0
1204,mmm,1,0
1205,azz-set,1,0
1206,babe,9,0
1207,feedback,11,0
1208,gain,6,0
1209,valu,2,0
1210,peac,8,0
1211,refresh,5,0
1212,manthan,1,0
1213,tune,5,0
1214,fresh,6,0
1215,mother,5,0
1216,determin,2,0
1217,maxfreshmov,2,0
1218,loneliest,1,0
1219,tattoo,3,0
1220,friday.and,1,0
1221,magnific,2,0
1222,e,5,0
1223,achiev,2,0
1224,rashmi,1,0
1225,dedic,2,0
1226,happyfriday,6,0
1227,nearli,4,0
1228,retweet,35,0
1229,alert,1,0
1230,da,5,0
1231,dang,2,0
1232,rad,2,0
1233,fanart,1,0
1234,massiv,1,0
1235,niamh,1,0
1236,fennel,1,0
1237,journal,1,0
1238,land,2,0
1239,copi,5,0
1240,past,7,0
1241,tweet,61,0
1242,yesss,5,0
1243,ariana,2,0
1244,selena,2,0
1245,gomez,1,0
1246,tomlinson,1,0
1247,payn,1,0
1248,caradelevingn,1,0
1249,🌷,1,0
1250,trade,3,0
1251,tire,5,0
1252,nope,7,0
1253,appli,6,0
1254,iamca,1,0
1255,found,15,0
1256,afti,1,0
1257,goodmorn,8,0
1258,prokabaddi,1,0
1259,koel,1,0
1260,mallick,1,0
1261,recit,4,0
1262,nation,3,0
1263,anthem,1,0
1264,6,23,0
1265,yournaturallead,1,0
1266,youngnaturallead,1,0
1267,mon,3,0
1268,27juli,1,0
1269,cumbria,1,0
1270,flockstar,1,0
1271,thur,2,0
1272,30juli,1,0
1273,itv,1,0
1274,sleeptight,1,0
1275,haveagoodday,1,0
1276,septemb,5,0
1277,perhap,3,0
1278,bb,4,0
1279,full,19,0
1280,album,6,0
1281,fulli,2,0
1282,intend,1,0
1283,possibl,7,0
1284,attack,3,0
1285,>:d,4,0
1286,bird,4,0
1287,teamadmicro,1,0
1288,fridaydownpour,1,0
1289,clear,4,0
1290,rohit,1,0
1291,queen,8,0
1292,otwolgrandtrail,3,0
1293,sheer,1,0
1294,fact,8,0
1295,obama,1,0
1296,innumer,1,0
1297,presid,2,0
1298,ni,3,0
1299,shauri,1,0
1300,yako,1,0
1301,memotohat,1,0
1302,sunday,9,0
1303,pamper,2,0
1304,t'wa,1,0
1305,cabincrew,1,0
1306,interview,5,0
1307,langkawi,1,0
1308,1st,1,0
1309,august,7,0
1310,fulfil,5,0
1311,fantasi,6,0
1312,👉,6,0
1313,ex-tweleb,1,0
1314,apart,2,0
1315,makeov,1,0
1316,brilliantli,1,0
1317,happyyi,1,0
1318,birthdaaayyy,2,0
1319,kill,3,0
1320,interest,20,0
1321,internship,3,0
1322,program,5,0
1323,sadli,1,0
1324,career,3,0
1325,page,9,0
1326,issu,10,0
1327,sad,5,0
1328,overwhelmingli,1,0
1329,aha,2,0
1330,beaut,2,0
1331,♬,2,0
1332,win,16,0
1333,deo,1,0
1334,faaabul,1,0
1335,freebiefriday,4,0
1336,aluminiumfre,1,0
1337,stayfresh,1,0
1338,john,6,0
1339,worri,18,0
1340,navig,1,0
1341,thnk,1,0
1342,progrmr,1,0
1343,9pm,1,0
1344,9am,2,0
1345,hardli,1,0
1346,rose,4,0
1347,emot,3,0
1348,poetri,1,0
1349,frequentfly,1,0
1350,break,10,0
1351,apolog,4,0
1352,kb,1,0
1353,londondairi,1,0
1354,icecream,2,0
1355,experi,7,0
1356,cover,9,0
1357,sin,1,0
1358,excit,33,0
1359,:'),2,0
1360,xxx,15,0
1361,jim,1,0
1362,chuckl,1,0
1363,cake,10,0
1364,doh,1,0
1365,500,2,0
1366,subscrib,2,0
1367,reach,1,0
1368,scorch,1,0
1369,summer,17,0
1370,younger,4,0
1371,woman,4,0
1372,stamina,1,0
1373,expect,6,0
1374,anyth,22,0
1375,less,8,0
1376,tweeti,1,0
1377,fab,12,0
1378,dont,13,0
1379,-->,2,0
1380,10,16,0
1381,loner,3,0
1382,introduc,3,0
1383,vs,4,0
1384,alter,1,0
1385,understand,6,0
1386,spread,8,0
1387,problem,19,0
1388,supa,1,0
1389,dupa,1,0
1390,near,6,0
1391,dartmoor,1,0
1392,gold,7,0
1393,colour,4,0
1394,ok,38,0
1395,someday,4,0
1396,r,14,0
1397,dii,1,0
1398,n,17,0
1399,forget,17,0
1400,si,4,0
1401,smf,1,0
1402,ft,4,0
1403,japanes,3,0
1404,import,5,0
1405,kitti,1,0
1406,match,6,0
1407,stationari,1,0
1408,draw,6,0
1409,close,14,0
1410,broken,3,0
1411,specialis,4,0
1412,thermal,4,0
1413,imag,6,0
1414,survey,4,0
1415,–,14,0
1416,south,2,0
1417,korea,3,0
1418,scamper,1,0
1419,slept,4,0
1420,alarm,1,0
1421,ain't,5,0
1422,mad,4,0
1423,chweina,1,0
1424,xd,4,0
